
Image Name                     PID Session Name        Session#    Mem Usage
HPJumpStartBridge.exe         8692 Services                   0        356 K
svchost.exe                   8444 Services                   0        204 K
HPSupportSolutionsFramewo     8408 Services                   0        788 K
svchost.exe                   8272 Console                    1        236 K
jhi_service.exe               7160 Services                   0          N/A
sedsvc.exe                    9116 Services                   0        352 K
svchost.exe                   7048 Services                   0      8,604 K
wmpnetwk.exe                  8376 Services                   0          N/A
svchost.exe                   9316 Services                   0      1,940 K
svchost.exe                  10140 Services                   0        120 K
McUICnt.exe                   7396 Console                    1      5,912 K
SettingSyncHost.exe           9508 Console                    1        212 K
svchost.exe                   2468 Services                   0      8,644 K
ApplicationFrameHost.exe      9856 Console                    1      5,968 K
SystemSettings.exe            2228 Console                    1         16 K
isa.exe                       6636 Services                   0      6,036 K
vlc.exe                      10036 Console                    1     50,568 K
taskhostw.exe                 9544 Console                    1      7,168 K
svchost.exe                   2136 Services                   0     14,644 K
bcastdvr.exe                  5652 Console                    1  1,611,080 K
dllhost.exe                  10892 Console                    1      8,928 K
svchost.exe                   4212 Services                   0      7,040 K
WUDFHost.exe                  1600 Services                   0      7,004 K
cmd.exe                       8760 Console                    1      2,564 K
conhost.exe                  10488 Console                    1     15,040 K
GamePanel.exe                 1680 Console                    1     23,628 K
cmd.exe                       8844 Console                    1      4,124 K
conhost.exe                   9732 Console                    1     10,140 K
GamePanel.exe                 3624 Console                    1     21,684 K
svchost.exe                   5824 Services                   0     10,456 K
svchost.exe                   8360 Services                   0      9,424 K
WmiPrvSE.exe                   304 Services                   0      9,632 K
SearchProtocolHost.exe        8328 Services                   0     10,000 K
SearchFilterHost.exe          3264 Services                   0      6,736 K
cmd.exe                       9468 Console                    1      3,420 K
conhost.exe                   1076 Console                    1     13,352 K
cmd.exe                       8468 Console                    1      3,456 K
conhost.exe                   6536 Console                    1     13,276 K
cmd.exe                       4128 Console                    1      3,464 K
conhost.exe                   7388 Console                    1     13,312 K
cmd.exe                       6404 Console                    1      3,548 K
conhost.exe                   7280 Console                    1     13,284 K
GamePanel.exe                10060 Console                    1     23,952 K
GamePanel.exe                 7984 Console                    1     24,012 K
tasklist.exe                  6512 Console                    1      7,656 K
